tree_size,lambda_index,sample_size,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
15,5,1000,14,0.4166666666666667,0.4166666666666667,100.0,12,12,0.5833333333333334
15,5,100,11,0.5454545454545454,0.5,166.66666666666669,11,12,0.4782608695652174
15,5,10,12,0.0,0.0,33.33333333333333,0,12,1.0
15,6,100000,8,0.7,0.5833333333333334,66.66666666666666,10,12,0.36363636363636365
15,6,10000,14,0.4166666666666667,0.4166666666666667,133.33333333333331,12,12,0.5833333333333334
15,6,1000,8,0.6666666666666666,0.6666666666666666,100.0,12,12,0.3333333333333333
15,6,100,14,0.25,0.08333333333333333,33.33333333333333,4,12,0.875
15,6,10,12,0.5,0.08333333333333333,33.33333333333333,2,12,0.8571428571428571
15,7,100000,16,0.35714285714285715,0.4166666666666667,266.66666666666663,14,12,0.6153846153846154
15,7,10000,11,0.5454545454545454,0.5,100.0,11,12,0.4782608695652174
15,7,1000,13,0.46153846153846156,0.5,133.33333333333331,13,12,0.52
15,7,100,16,0.3333333333333333,0.3333333333333333,200.0,12,12,0.6666666666666666
15,7,10,16,0.0,0.0,33.33333333333333,4,12,1.0
15,8,100000,11,0.5714285714285714,0.3333333333333333,33.33333333333333,7,12,0.5789473684210527
15,8,10000,13,0.46153846153846156,0.5,133.33333333333331,13,12,0.52
15,8,1000,12,0.5,0.25,0.0,6,12,0.6666666666666666
15,8,100,14,0.42857142857142855,0.5,166.66666666666669,14,12,0.5384615384615384
15,8,10,12,0.5,0.08333333333333333,0.0,2,12,0.8571428571428571
15,9,100000,14,0.4,0.3333333333333333,100.0,10,12,0.6363636363636364
15,9,10000,14,0.4166666666666667,0.4166666666666667,133.33333333333331,12,12,0.5833333333333334
15,9,1000,15,0.4,0.5,166.66666666666669,15,12,0.5555555555555556
15,9,100,18,0.2857142857142857,0.3333333333333333,133.33333333333331,14,12,0.6923076923076923
15,9,10,19,0.18181818181818182,0.16666666666666666,100.0,11,12,0.8260869565217391
15,10,100000,8,0.7,0.5833333333333334,33.33333333333333,10,12,0.36363636363636365
15,10,10000,15,0.36363636363636365,0.3333333333333333,133.33333333333331,11,12,0.6521739130434783
15,10,1000,16,0.375,0.5,233.33333333333334,16,12,0.5714285714285714
15,10,100,14,0.4166666666666667,0.4166666666666667,166.66666666666669,12,12,0.5833333333333334
15,10,10,14,0.25,0.08333333333333333,33.33333333333333,4,12,0.875
15,11,100000,11,0.5384615384615384,0.5833333333333334,133.33333333333331,13,12,0.44
15,11,10000,14,0.4166666666666667,0.4166666666666667,133.33333333333331,12,12,0.5833333333333334
15,11,1000,12,0.5,0.5,100.0,12,12,0.5
15,11,100,16,0.3888888888888889,0.5833333333333334,266.66666666666663,18,12,0.5333333333333333
15,11,10,14,0.25,0.08333333333333333,66.66666666666666,4,12,0.875
15,12,100000,10,0.6,0.5,66.66666666666666,10,12,0.45454545454545453
15,12,10000,13,0.45454545454545453,0.4166666666666667,133.33333333333331,11,12,0.5652173913043478
15,12,1000,13,0.46153846153846156,0.5,166.66666666666669,13,12,0.52
15,12,100,10,0.5714285714285714,0.6666666666666666,200.0,14,12,0.38461538461538464
15,12,10,12,0.0,0.0,0.0,0,12,1.0
15,13,100000,13,0.45454545454545453,0.4166666666666667,133.33333333333331,11,12,0.5652173913043478
15,13,10000,9,0.6363636363636364,0.5833333333333334,33.33333333333333,11,12,0.391304347826087
15,13,1000,8,0.7,0.5833333333333334,66.66666666666666,10,12,0.36363636363636365
15,13,100,16,0.3,0.25,133.33333333333331,10,12,0.7272727272727273
15,13,10,15,0.2,0.08333333333333333,33.33333333333333,5,12,0.8823529411764706
15,14,100000,8,0.7,0.5833333333333334,33.33333333333333,10,12,0.36363636363636365
15,14,10000,10,0.6,0.5,100.0,10,12,0.45454545454545453
15,14,1000,11,0.5555555555555556,0.4166666666666667,100.0,9,12,0.5238095238095238
15,14,100,15,0.36363636363636365,0.3333333333333333,133.33333333333331,11,12,0.6521739130434783
15,14,10,16,0.3,0.25,166.66666666666669,10,12,0.7272727272727273
15,15,100000,10,0.5833333333333334,0.5833333333333334,100.0,12,12,0.4166666666666667
15,15,10000,11,0.5454545454545454,0.5,66.66666666666666,11,12,0.4782608695652174
15,15,1000,9,0.6666666666666666,0.5,66.66666666666666,9,12,0.42857142857142855
15,15,100,12,0.5,0.5,166.66666666666669,12,12,0.5
15,15,10,14,0.0,0.0,0.0,2,12,1.0
15,16,100000,11,0.5454545454545454,0.5,100.0,11,12,0.4782608695652174
15,16,10000,10,0.6,0.5,66.66666666666666,10,12,0.45454545454545453
15,16,1000,11,0.5384615384615384,0.5833333333333334,133.33333333333331,13,12,0.44
15,16,100,15,0.36363636363636365,0.3333333333333333,66.66666666666666,11,12,0.6521739130434783
15,16,10,12,0.0,0.0,0.0,0,12,1.0
15,17,100000,18,0.2857142857142857,0.3333333333333333,166.66666666666669,14,12,0.6923076923076923
15,17,10000,13,0.4444444444444444,0.3333333333333333,66.66666666666666,9,12,0.6190476190476191
15,17,1000,10,0.6,0.5,66.66666666666666,10,12,0.45454545454545453
15,17,100,12,0.5,0.5,133.33333333333331,12,12,0.5
15,17,10,23,0.07692307692307693,0.08333333333333333,166.66666666666669,13,12,0.92
15,18,100000,10,0.6,0.5,66.66666666666666,10,12,0.45454545454545453
15,18,10000,8,0.6666666666666666,0.6666666666666666,166.66666666666669,12,12,0.3333333333333333
15,18,1000,9,0.6363636363636364,0.5833333333333334,66.66666666666666,11,12,0.391304347826087
15,18,100,16,0.3,0.25,100.0,10,12,0.7272727272727273
15,18,10,12,0.0,0.0,0.0,0,12,1.0
15,19,100000,10,0.6,0.5,66.66666666666666,10,12,0.45454545454545453
15,19,10000,13,0.45454545454545453,0.4166666666666667,133.33333333333331,11,12,0.5652173913043478
15,19,1000,13,0.46153846153846156,0.5,233.33333333333334,13,12,0.52
15,19,100,13,0.4666666666666667,0.5833333333333334,133.33333333333331,15,12,0.48148148148148145
15,19,10,13,0.42857142857142855,0.25,66.66666666666666,7,12,0.6842105263157895
15,20,100000,9,0.6363636363636364,0.5833333333333334,100.0,11,12,0.391304347826087
15,20,10000,14,0.4166666666666667,0.4166666666666667,133.33333333333331,12,12,0.5833333333333334
15,20,1000,9,0.6666666666666666,0.5,66.66666666666666,9,12,0.42857142857142855
15,20,100,19,0.23076923076923078,0.25,133.33333333333331,13,12,0.76
15,20,10,16,0.16666666666666666,0.08333333333333333,33.33333333333333,6,12,0.8888888888888888
20,1,100000,11,0.7142857142857143,0.5882352941176471,50.0,14,17,0.3548387096774194
20,1,10000,4,0.9333333333333333,0.8235294117647058,50.0,15,17,0.125
20,1,1000,14,0.5789473684210527,0.6470588235294118,125.0,19,17,0.3888888888888889
20,1,100,20,0.42857142857142855,0.5294117647058824,225.0,21,17,0.5263157894736842
20,1,10,22,0.2222222222222222,0.11764705882352941,75.0,9,17,0.8461538461538461
20,2,100000,8,0.8,0.7058823529411765,100.0,15,17,0.25
20,2,10000,9,0.7857142857142857,0.6470588235294118,25.0,14,17,0.2903225806451613
20,2,1000,6,0.8666666666666667,0.7647058823529411,50.0,15,17,0.1875
20,2,100,23,0.3125,0.29411764705882354,125.0,16,17,0.696969696969697
20,2,10,21,0.0,0.0,0.0,4,17,1.0
20,3,100000,12,0.6470588235294118,0.6470588235294118,100.0,17,17,0.35294117647058826
20,3,10000,11,0.6875,0.6470588235294118,75.0,16,17,0.3333333333333333
20,3,1000,8,0.8461538461538461,0.6470588235294118,50.0,13,17,0.26666666666666666
20,3,100,13,0.6666666666666666,0.47058823529411764,100.0,12,17,0.4482758620689655
20,3,10,22,0.14285714285714285,0.058823529411764705,50.0,7,17,0.9166666666666666
20,4,100000,14,0.6,0.5294117647058824,25.0,15,17,0.4375
20,4,10000,11,0.6666666666666666,0.7058823529411765,150.0,18,17,0.3142857142857143
20,4,1000,13,0.6,0.7058823529411765,175.0,20,17,0.35135135135135137
20,4,100,15,0.5833333333333334,0.4117647058823529,100.0,12,17,0.5172413793103449
20,4,10,25,0.16666666666666666,0.11764705882352941,125.0,12,17,0.8620689655172413
20,5,100000,13,0.625,0.5882352941176471,75.0,16,17,0.3939393939393939
20,5,10000,11,0.75,0.5294117647058824,25.0,12,17,0.3793103448275862
20,5,1000,12,0.6470588235294118,0.6470588235294118,100.0,17,17,0.35294117647058826
20,5,100,20,0.42857142857142855,0.5294117647058824,225.0,21,17,0.5263157894736842
20,5,10,31,0.0625,0.058823529411764705,150.0,16,17,0.9393939393939394
20,6,100000,4,0.9333333333333333,0.8235294117647058,50.0,15,17,0.125
20,6,10000,6,0.8666666666666667,0.7647058823529411,50.0,15,17,0.1875
20,6,1000,17,0.5,0.5882352941176471,150.0,20,17,0.4594594594594595
20,6,100,16,0.5294117647058824,0.5294117647058824,75.0,17,17,0.47058823529411764
20,6,10,17,0.0,0.0,0.0,0,17,1.0
20,7,100000,18,0.47058823529411764,0.47058823529411764,100.0,17,17,0.5294117647058824
20,7,10000,4,0.9333333333333333,0.8235294117647058,50.0,15,17,0.125
20,7,1000,6,0.8666666666666667,0.7647058823529411,50.0,15,17,0.1875
20,7,100,10,0.7058823529411765,0.7058823529411765,150.0,17,17,0.29411764705882354
20,7,10,17,0.0,0.0,0.0,0,17,1.0
20,8,100000,9,0.7222222222222222,0.7647058823529411,75.0,18,17,0.2571428571428571
20,8,10000,18,0.47619047619047616,0.5882352941176471,175.0,21,17,0.47368421052631576
20,8,1000,13,0.625,0.5882352941176471,75.0,16,17,0.3939393939393939
20,8,100,17,0.5,0.5294117647058824,175.0,18,17,0.4857142857142857
