alpha,p_value_paramater,node_sizes,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
0.060000000000000005,0.07500000000000001,35,26,0.6153846153846154,0.5,66.66666666666666,26,32,0.4482758620689655
0.060000000000000005,0.07500000000000001,40,38,0.48717948717948717,0.5135135135135135,183.33333333333331,39,37,0.5
0.060000000000000005,0.1,10,9,0.3333333333333333,0.125,50.0,3,8,0.8181818181818182
0.060000000000000005,0.1,15,8,0.7272727272727273,0.6153846153846154,50.0,11,13,0.3333333333333333
0.060000000000000005,0.1,20,25,0.2777777777777778,0.29411764705882354,175.0,18,17,0.7142857142857143
0.060000000000000005,0.1,25,23,0.45,0.42857142857142855,100.0,20,21,0.5609756097560976
0.060000000000000005,0.1,30,23,0.5714285714285714,0.5925925925925926,116.66666666666667,28,27,0.41818181818181815
0.060000000000000005,0.1,35,29,0.5517241379310345,0.5,83.33333333333334,29,32,0.47540983606557374
0.060000000000000005,0.1,40,32,0.5675675675675675,0.5675675675675675,166.66666666666669,37,37,0.43243243243243246
0.07,0.05,10,6,0.75,0.375,0.0,4,8,0.5
0.07,0.05,15,8,0.7272727272727273,0.6153846153846154,50.0,11,13,0.3333333333333333
0.07,0.05,20,18,0.4666666666666667,0.4117647058823529,100.0,15,17,0.5625
0.07,0.05,25,19,0.5555555555555556,0.47619047619047616,75.0,18,21,0.48717948717948717
0.07,0.05,30,25,0.5384615384615384,0.5185185185185185,116.66666666666667,26,27,0.4716981132075472
0.07,0.05,35,28,0.5769230769230769,0.46875,116.66666666666667,26,32,0.4827586206896552
0.07,0.05,40,33,0.5454545454545454,0.6486486486486487,216.66666666666666,44,37,0.4074074074074074
0.07,0.07500000000000001,10,9,0.42857142857142855,0.375,100.0,7,8,0.6
0.07,0.07500000000000001,15,11,0.5714285714285714,0.6153846153846154,150.0,14,13,0.4074074074074074
0.07,0.07500000000000001,20,18,0.4666666666666667,0.4117647058823529,125.0,15,17,0.5625
0.07,0.07500000000000001,25,22,0.47368421052631576,0.42857142857142855,50.0,19,21,0.55
0.07,0.07500000000000001,30,26,0.52,0.48148148148148145,133.33333333333331,25,27,0.5
0.07,0.07500000000000001,35,26,0.6363636363636364,0.4375,66.66666666666666,22,32,0.48148148148148145
0.07,0.07500000000000001,40,29,0.6176470588235294,0.5675675675675675,133.33333333333331,34,37,0.4084507042253521
0.07,0.1,10,6,0.75,0.375,0.0,4,8,0.5
0.07,0.1,15,11,0.5714285714285714,0.6153846153846154,150.0,14,13,0.4074074074074074
0.07,0.1,20,17,0.5,0.4117647058823529,75.0,14,17,0.5483870967741935
0.07,0.1,25,26,0.391304347826087,0.42857142857142855,125.0,23,21,0.5909090909090909
0.07,0.1,30,33,0.40625,0.48148148148148145,166.66666666666669,32,27,0.559322033898305
0.07,0.1,35,24,0.7,0.4375,50.0,20,32,0.46153846153846156
0.07,0.1,40,37,0.5,0.5675675675675675,216.66666666666666,42,37,0.46835443037974683
0.08,0.05,10,8,0.5,0.375,100.0,6,8,0.5714285714285714
0.08,0.05,15,11,0.5714285714285714,0.6153846153846154,150.0,14,13,0.4074074074074074
0.08,0.05,20,22,0.3333333333333333,0.29411764705882354,75.0,15,17,0.6875
0.08,0.05,25,19,0.5714285714285714,0.38095238095238093,25.0,14,21,0.5428571428571428
0.08,0.05,30,20,0.64,0.5925925925925926,100.0,25,27,0.38461538461538464
0.08,0.05,35,29,0.5517241379310345,0.5,116.66666666666667,29,32,0.47540983606557374
0.08,0.05,40,40,0.4666666666666667,0.5675675675675675,283.33333333333337,45,37,0.4878048780487805
0.08,0.07500000000000001,10,9,0.42857142857142855,0.375,100.0,7,8,0.6
0.08,0.07500000000000001,15,10,0.6153846153846154,0.6153846153846154,150.0,13,13,0.38461538461538464
0.08,0.07500000000000001,20,19,0.42857142857142855,0.35294117647058826,100.0,14,17,0.6129032258064516
0.08,0.07500000000000001,25,17,0.6111111111111112,0.5238095238095238,50.0,18,21,0.4358974358974359
0.08,0.07500000000000001,30,21,0.6153846153846154,0.5925925925925926,100.0,26,27,0.39622641509433965
0.08,0.07500000000000001,35,28,0.6,0.375,66.66666666666666,20,32,0.5384615384615384
0.08,0.07500000000000001,40,33,0.5625,0.4864864864864865,183.33333333333331,32,37,0.4782608695652174
0.08,0.1,10,11,0.2,0.125,100.0,5,8,0.8461538461538461
0.08,0.1,15,10,0.6153846153846154,0.6153846153846154,150.0,13,13,0.38461538461538464
0.08,0.1,20,23,0.3333333333333333,0.35294117647058826,175.0,18,17,0.6571428571428571
0.08,0.1,25,23,0.4444444444444444,0.38095238095238093,100.0,18,21,0.5897435897435898
0.08,0.1,30,21,0.6071428571428571,0.6296296296296297,116.66666666666667,28,27,0.38181818181818183
0.08,0.1,35,39,0.3939393939393939,0.40625,166.66666666666669,33,32,0.6
0.08,0.1,40,39,0.47368421052631576,0.4864864864864865,166.66666666666669,38,37,0.52
0.09,0.05,10,9,0.4,0.25,50.0,5,8,0.6923076923076923
